시장,종목명,코드,최종확률,절대금지확률,관망확률,예측시점가격,목표가,손절가,거래량파워
KOSPI,삼성생명,032830,35.02569814366223,40.04198494900771,24.932318397446178,355000,369200,344350,84
KOSPI,KB금융,105560,24.384747454236656,37.746116696858024,37.869132868673084,155800,162032,151126,64
KOSPI,LG화학,051910,32.114011118668685,35.97890074767092,31.907088133660388,348000,361920,337560,93
KOSPI,LS,006260,33.46141219956151,39.75773751149443,26.780847308711813,521000,541840,505370,80
KOSPI,한화오션,042660,28.98899393300689,36.10793300017943,34.903071576697556,113600,118144,110192,63
KOSPI,LG에너지솔루션,373220,37.32853855325645,32.90208646067118,29.76937498607236,401000,417040,388970,63
KOSPI,이수화학,005950,30.861944605392612,44.80082005185818,24.337235342749214,15850,16484,15374,288
KOSPI,삼성중공업,010140,33.55288479319063,35.35739342560078,31.089721781208585,28650,29796,27790,43
KOSPI,현대글로비스,086280,33.14295517261768,39.36159354389989,27.495449793366305,233500,242840,226495,89
KOSPI,삼성E&A,028050,35.752982809749945,40.28818923794852,23.958827207243473,51300,53352,49761,60
KOSPI,두산,000150,35.65816710700036,31.006721474436088,33.33510918338936,1600000,1664000,1552000,78
KOSPI,SK텔레콤,017670,32.25908003534851,43.902058796426644,23.838861168224856,102800,106912,99716,100
KOSPI,하나금융지주,086790,26.03818167685743,32.695345180880864,41.26647314226171,119400,124176,115818,88
KOSPI,현대로템,064350,41.084669027754195,34.77897660819937,24.13635585416255,195500,203320,189635,56
KOSPI,삼화콘덴서,001820,28.75973842677157,44.68933309134278,26.550929972001764,78500,81640,76145,281
KOSPI,삼양식품,003230,40.941180304172484,37.94826138169757,21.110556824013827,1319000,1371760,1279430,110
KOSPI,한온시스템,018880,31.87473155521341,39.51643904051864,28.608830894384074,4835,5028,4689,51
KOSPI,삼성에스디에스,018260,34.411538960230125,44.164225715246594,21.424236814639393,185300,192712,179741,109
KOSPI,HD한국조선해양,009540,36.12205933195043,35.85180432291571,28.026137835249976,415000,431600,402550,90
KOSPI,SK네트웍스,001740,36.0599834815293,44.09681604899259,19.843200469478106,8170,8496,7924,108
KOSPI,삼성화재,000810,28.52876466629507,42.304732409357605,29.16649994411509,566000,588640,549020,72
KOSPI,한국금융지주,071050,28.733980507333722,37.57209487790859,33.693924614757684,249500,259480,242015,107
KOSPI,한국전력,015760,29.5199346171919,38.4256890324428,32.054376350365295,39400,40976,38218,89
KOSPI,엘앤에프,066970,34.724556187927,38.488928675056165,26.786515137016835,155100,161304,150447,87
KOSPI,에이피알,278470,37.71507767875792,41.276654144641526,21.008267431542492,399500,415480,387515,70
KOSPI,LG전자우,066575,39.811795010335096,37.678481264257336,22.50972223529145,86000,89440,83420,209
KOSPI,신한지주,055550,28.754794180311038,38.79753668017162,32.447669139517345,94800,98592,91956,66
KOSPI,가온전선,000500,43.45733279785317,32.59055550991911,23.952113182343837,409000,425360,396730,87
KOSPI,DB하이텍,000990,34.663165766451684,41.00844616218278,24.328391051597773,181000,188240,175570,64
KOSPI,키움증권,039490,30.966213709732305,37.42128808546705,31.612499694916767,410000,426400,397700,98
KOSPI,OCI홀딩스,010060,38.465657075854445,47.47174974871131,14.062589450143948,280500,291720,272085,64
KOSPI,SKC,011790,31.45088613990711,39.76338932064841,28.78572602956061,136600,142064,132502,56
KOSPI,한국항공우주,047810,29.259167346564396,39.577897905262496,31.16293474817311,164500,171080,159565,52
KOSPI,삼성바이오로직스,207940,30.179241597021967,35.34465861630062,34.476101276793536,1395000,1450800,1353150,69
KOSPI,카카오,035720,28.5423580742341,34.41344946863292,37.04419245713297,41800,43472,40546,83
KOSPI,현대차2우B,005387,25.776959871198702,31.369663067745208,42.853374080823855,266000,276640,258020,94
KOSPI,신세계,004170,38.69324791940754,36.279849740858154,25.026897869385945,578000,601120,560660,140
KOSPI,대한항공,003490,26.574649068094857,30.09228190562132,43.333071261458,26450,27508,25656,118
KOSPI,우리금융지주,316140,26.302248828982577,39.948827515335864,33.748921420507386,30400,31616,29488,80
KOSPI,삼성증권,016360,34.858930135026846,40.7207680062546,24.420302603776616,122400,127296,118728,53
KOSPI,한화엔진,082740,32.16725414464905,41.85549922201102,25.977243653107703,72600,75504,70422,54
KOSPI,SK이노베이션,096770,37.624967194495376,33.8841184471182,28.49091435838642,118800,123552,115236,60
KOSPI,한화시스템,272210,33.88472305714045,42.72158513474679,23.393697023519177,103800,107952,100686,56
